run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,scale,comparison,quality_status,first_recorded_instructions,start_window_instructions,first_eligible_l2,first_admitted_l2,first_completed_l2,preceding_recorded_instructions,recorded_points,exit_at_instructions,exit_status,last_recorded_instructions,last_eligible_l2,last_admitted_l2,last_completed_l2,sampled_instruction_span,covered_window_instructions,exit_limiting_metrics
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,2700000.0,2600000.0,43622.0,9116.0,9099.0,2600000.0,2,2900000.0,NA,2800000.0,45225.0,9449.0,9433.0,100000.0,200000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,2900000.0,2800000.0,46848.0,9795.0,9778.0,2800000.0,1,3000000.0,NOT_EXCEEDS,2900000.0,46848.0,9795.0,9778.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,3000000.0,2900000.0,48453.0,10123.0,10106.0,2900000.0,17,4700000.0,NA,4600000.0,74255.0,15482.0,15466.0,1600000.0,1700000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,4700000.0,4600000.0,75863.0,15821.0,15804.0,4600000.0,1,4800000.0,NOT_EXCEEDS,4700000.0,75863.0,15821.0,15804.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,4800000.0,4700000.0,77490.0,16158.0,16142.0,4700000.0,10,5800000.0,NA,5700000.0,92037.0,19181.0,19164.0,900000.0,1000000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,5800000.0,5700000.0,93636.0,19530.0,19513.0,5700000.0,1,5900000.0,NOT_EXCEEDS,5800000.0,93636.0,19530.0,19513.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,5900000.0,5800000.0,95233.0,19865.0,19848.0,5800000.0,10,6900000.0,NA,6800000.0,109791.0,22908.0,22892.0,900000.0,1000000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,6900000.0,6800000.0,111429.0,23255.0,23238.0,6800000.0,1,7000000.0,NOT_EXCEEDS,6900000.0,111429.0,23255.0,23238.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,7000000.0,6900000.0,113036.0,23590.0,23574.0,6900000.0,7,7700000.0,NA,7600000.0,122733.0,25588.0,25572.0,600000.0,700000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,7700000.0,7600000.0,124331.0,25919.0,25902.0,7600000.0,1,7800000.0,NOT_EXCEEDS,7700000.0,124331.0,25919.0,25902.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,7800000.0,7700000.0,125949.0,26253.0,26236.0,7700000.0,3,8100000.0,NA,8000000.0,129167.0,26925.0,26908.0,200000.0,300000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,8100000.0,8000000.0,130802.0,27266.0,27249.0,8000000.0,1,8200000.0,NOT_EXCEEDS,8100000.0,130802.0,27266.0,27249.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,8200000.0,8100000.0,132403.0,27599.0,27582.0,8100000.0,14,9600000.0,NA,9500000.0,153393.0,31972.0,31956.0,1300000.0,1400000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,9600000.0,9500000.0,154999.0,32313.0,32296.0,9500000.0,2,9800000.0,NOT_EXCEEDS,9700000.0,156632.0,32644.0,32627.0,100000.0,200000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,9800000.0,9700000.0,158237.0,32967.0,32950.0,9700000.0,15,11300000.0,NA,11200000.0,180848.0,37699.0,37682.0,1400000.0,1500000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,11300000.0,11200000.0,182449.0,38030.0,38013.0,11200000.0,1,11400000.0,NOT_EXCEEDS,11300000.0,182449.0,38030.0,38013.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NOT_EXCEEDS,11400000.0,11300000.0,184076.0,38372.0,38355.0,11300000.0,11,12500000.0,NA,12400000.0,200582.0,41967.0,41951.0,1000000.0,1100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
cold_frozen_i1m_h8_s7_state64_mac4,cold,8,i1m,64,4,interval_100k,stride,NA,12500000.0,12400000.0,202221.0,42314.0,42297.0,12400000.0,1,12600000.0,NOT_EXCEEDS,12500000.0,202221.0,42314.0,42297.0,0.0,100000.0,useful_prefetch_coverage;selected_accuracy;legacy_timeliness
