trace,prefetcher,demand,demand_hit,demand_miss,demand_miss_rate,covered_on_time,covered_on_time_rate,coverage_among_misses,late_prefetch,late_rate_among_misses,residual_miss,residual_miss_rate,residual_share_of_misses,original_miss_pool,pf_requested_events,pf_accepted_events,pf_duplicate_events,pf_duplicate_rate,pf_dropped_events,pf_dropped_rate,top_residual_pcs,top_residual_deltas,parse_error,event_file
620.omnetpp_s-874B,ipcp,451406,136272,315134,0.6981165513971901,2150,0.004762896372666734,0.006776263536768321,292,0.0009265899585573121,315134,0.6981165513971901,0.9932237364632317,317284,14185,14185,0,0.0,0,0.0,"[('4657997', 25429), ('4658001', 21976), ('4657981', 16220), ('5518024', 11636), ('5152705', 11502), ('5618451', 10455), ('5152793', 9758), ('5574648', 8873), ('5570300', 8864), ('5570203', 7424)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.ipcp.events.csv.gz
620.omnetpp_s-874B,sms,451284,205042,246242,0.5456475301583925,90340,0.20018436284025137,0.2684041333166955,1934,0.007854062263951722,246242,0.5456475301583925,0.7315958666833046,336582,412799,412799,0,0.0,0,0.0,"[('4657997', 28792), ('4658001', 24804), ('4657981', 14840), ('5618451', 10446), ('5518024', 10390), ('5570300', 6902), ('5152705', 6752), ('4288249', 5947), ('5152793', 5893), ('4312193', 5488)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.sms.events.csv.gz
620.omnetpp_s-874B,sandbox,466225,213659,252566,0.5417255616923159,161570,0.34654941283714946,0.39013753935905116,8884,0.03517496416778189,252566,0.5417255616923159,0.6098624606409488,414136,4271882,4271882,530053,0.12407950406869853,0,0.0,"[('4658001', 45394), ('4657997', 39704), ('4657981', 13080), ('5518024', 11549), ('5618451', 10465), ('5570300', 9838), ('4312193', 5804), ('4288249', 5543), ('6440345', 4601), ('6430231', 4154)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.sandbox.events.csv.gz
620.omnetpp_s-874B,power7,451341,172410,278931,0.6180050117317062,52554,0.11643967643090258,0.15854111045748676,2005,0.007188157644722171,278931,0.6180050117317062,0.8414588895425132,331485,404526,404526,55098,0.13620385339879265,0,0.0,"[('4657997', 27844), ('4658001', 24154), ('4657981', 15350), ('5518024', 11634), ('5618451', 10459), ('5570300', 9185), ('5574648', 6147), ('4711892', 5961), ('4288249', 5956), ('6440345', 5689)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/620.omnetpp_s-874B.power7.events.csv.gz
623.xalancbmk_s-700B,no_pref,1218494,768144,450350,0.36959558274394455,0,0.0,0.0,0,0.0,450350,0.36959558274394455,1.0,450350,0,0,0,0.0,0,0.0,"[('6524608', 164756), ('6524605', 140446), ('6524625', 44906), ('6524592', 35214), ('6605932', 15733), ('6523942', 1518), ('8066264', 1465), ('6611350', 1332), ('8073290', 1195), ('4817889', 814)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.no_pref.events.csv.gz
623.xalancbmk_s-700B,stride,1218495,770208,448287,0.36790220723105144,2119,0.0017390305253612037,0.004704644254295014,7486,0.01669912355254558,448287,0.36790220723105144,0.9952953557457049,450406,166147,166147,29686,0.17867310273432563,0,0.0,"[('6524608', 164888), ('6524605', 140524), ('6524625', 44999), ('6524592', 35217), ('6605932', 13895), ('6523942', 1517), ('8066264', 1466), ('6611350', 1332), ('8073290', 1195), ('4817889', 814)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.stride.events.csv.gz
623.xalancbmk_s-700B,streamer,1218352,488111,730241,0.5993678345831089,49555,0.04067379542201269,0.06354867170388152,6635,0.009086041457546207,730241,0.5993678345831089,0.9364513282961184,779796,1303747,1303747,221023,0.16952905740147436,0,0.0,"[('6524608', 278110), ('6524605', 245732), ('6524625', 71135), ('6524592', 57651), ('6605932', 4473), ('8066264', 2075), ('8073290', 1751), ('6523942', 1368), ('6611350', 1234), ('4817889', 1234)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.streamer.events.csv.gz
623.xalancbmk_s-700B,ampm,1218334,712563,505771,0.4151332885727559,22845,0.018751015731318342,0.0432166260574784,3240,0.006406061241154594,505771,0.4151332885727559,0.9567833739425216,528616,500930,500930,76605,0.15292555846126205,0,0.0,"[('6524608', 192643), ('6524605', 165574), ('6524625', 50365), ('6524592', 40156), ('6605932', 3116), ('8066264', 1740), ('6523942', 1466), ('6611350', 1279), ('8073290', 1274), ('4817889', 932)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.ampm.events.csv.gz
623.xalancbmk_s-700B,spp,1218483,778851,439632,0.36080273586090245,1140,0.000935589581471387,0.002586371185102502,1852,0.004212614186410452,439632,0.36080273586090245,0.9974136288148975,440772,804305,804305,42036,0.05226375566482864,0,0.0,"[('6524608', 161006), ('6524605', 136984), ('6524625', 43468), ('6524592', 34145), ('6605932', 15348), ('6523942', 1516), ('8066264', 1472), ('6611350', 1316), ('8073290', 1203), ('4817889', 806)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.spp.events.csv.gz
623.xalancbmk_s-700B,ipcp,1218487,757297,461190,0.37849398475322266,2858,0.002345531794758582,0.006158845636658277,80,0.00017346429887898698,461190,0.37849398475322266,0.9938411543633417,464048,59386,59386,0,0.0,0,0.0,"[('6524608', 169697), ('6524605', 145276), ('6524625', 46125), ('6524592', 36607), ('6605932', 16331), ('8066264', 1454), ('6523942', 1430), ('6611350', 1261), ('8073290', 1215), ('4817889', 814)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.ipcp.events.csv.gz
623.xalancbmk_s-700B,sms,1218827,562205,656622,0.5387327323730111,124113,0.10182987413308041,0.15896943265000288,10936,0.01665493998068904,656622,0.5387327323730111,0.8410305673499971,780735,894555,894555,0,0.0,0,0.0,"[('6524608', 250667), ('6524605', 219960), ('6524625', 62700), ('6524592', 49683), ('6605932', 19189), ('8066264', 1734), ('8073290', 1725), ('6611350', 1316), ('6523942', 1245), ('4221872', 960)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.sms.events.csv.gz
623.xalancbmk_s-700B,sandbox,1218513,618504,600009,0.4924108318910016,368129,0.30211331352230136,0.3802443453309342,23387,0.038977748667103324,600009,0.4924108318910016,0.6197556546690658,968138,8210756,8210756,1248937,0.15210986661885945,0,0.0,"[('6524608', 229003), ('6524605', 201826), ('6524625', 57452), ('6524592', 45881), ('6605932', 6129), ('8073290', 1965), ('8066264', 1697), ('4817889', 1265), ('4221872', 1096), ('4221911', 916)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.sandbox.events.csv.gz
623.xalancbmk_s-700B,power7,1218439,602971,615468,0.5051282829915983,27781,0.02280048488270648,0.043188563060339,7360,0.01195837963955884,615468,0.5051282829915983,0.956811436939661,643249,720657,720657,120576,0.16731399264837502,0,0.0,"[('6524608', 231375), ('6524605', 201139), ('6524625', 60233), ('6524592', 48487), ('6605932', 10183), ('8066264', 1940), ('8073290', 1541), ('6523942', 1407), ('6611350', 1255), ('4817889', 1055)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/623.xalancbmk_s-700B.power7.events.csv.gz
